Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,262.0,262.049988,248.899994,248.899994,248.899994,74715306.0
2023-08-22,236.449997,236.449997,236.449997,236.449997,236.449997,7281398.0
2023-08-23,224.649994,224.649994,224.649994,224.649994,224.649994,4289046.0
2023-08-24,213.449997,213.449997,213.449997,213.449997,213.449997,27673350.0
2023-08-25,202.800003,224.100006,202.800003,214.5,214.5,281040100.0
2023-08-28,213.350006,222.25,207.550003,211.149994,211.149994,87522120.0
2023-08-29,212.0,221.699997,207.25,220.25,220.25,92693420.0
2023-08-30,224.899994,231.25,224.699997,231.25,231.25,21403170.0
2023-08-31,241.699997,242.800003,231.149994,233.5,233.5,124122100.0
2023-09-01,235.0,245.149994,234.199997,245.149994,245.149994,39481020.0
2023-09-04,255.300003,266.950012,249.0,253.449997,253.449997,99246730.0
2023-09-05,257.0,260.0,253.0,255.050003,255.050003,47127070.0
2023-09-06,247.0,259.799988,246.050003,252.850006,252.850006,225413100.0
2023-09-07,252.0,257.299988,251.25,251.800003,251.800003,43856830.0
2023-09-08,254.0,255.0,249.5,253.199997,253.199997,36090000.0
2023-09-11,256.950012,257.700012,250.0,250.149994,250.149994,24982850.0
2023-09-12,251.75,252.0,240.899994,244.25,244.25,39500710.0
2023-09-13,244.800003,247.800003,236.600006,240.199997,240.199997,27810990.0
2023-09-14,242.0,244.550003,241.25,242.550003,242.550003,14055230.0
2023-09-15,243.800003,244.649994,237.649994,239.399994,239.399994,27416100.0
2023-09-18,240.0,240.850006,232.100006,233.199997,233.199997,24694410.0
2023-09-20,230.399994,232.0,229.0,229.649994,229.649994,18317600.0
2023-09-21,230.0,235.600006,226.800003,227.649994,227.649994,33101550.0
2023-09-22,227.949997,232.25,226.350006,227.800003,227.800003,38327550.0
2023-09-25,230.0,230.850006,227.5,229.75,229.75,13392150.0
2023-09-26,231.100006,231.699997,230.0,230.399994,230.399994,8058261.0
2023-09-27,231.199997,231.199997,227.0,227.350006,227.350006,10984320.0
2023-09-28,228.0,228.850006,224.75,225.050003,225.050003,9143582.0
2023-09-29,225.899994,232.899994,225.0,231.199997,231.199997,12411230.0
2023-10-03,231.5,233.899994,230.550003,231.399994,231.399994,13185430.0
2023-10-04,230.0,230.0,223.5,224.649994,224.649994,23296540.0
2023-10-05,225.899994,227.899994,224.199997,225.399994,225.399994,13894930.0
2023-10-06,226.5,227.649994,223.699997,225.100006,225.100006,7531900.0
2023-10-09,223.0,223.0,218.850006,219.649994,219.649994,9696908.0
2023-10-10,221.0,223.899994,219.75,220.149994,220.149994,10451280.0
2023-10-11,222.0,227.699997,220.600006,225.100006,225.100006,11765080.0
2023-10-12,227.0,227.399994,224.75,225.149994,225.149994,7780605.0
2023-10-13,224.0,225.899994,222.0,224.550003,224.550003,10137210.0
